Item,Category,Calories_per_100g,Protein_g,Carbs_g,Fat_g,Taste_Rasa,Virya,Vipaka,Dosha_Effects
Hyderabadi Hyderabadi Punjabi Ghee,dairy,357,6,57.8,0.6,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Kashmiri Carrot,vegetable,388,13.9,5,5.9,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Hyderabadi Kashmiri Samosa,snack,334,3.2,54.9,46.2,Mixed,Heating,Pungent,Increases Kapha and Pitta
Maharashtrian Assamese Pineapple,fruit,338,13.8,51.1,47,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Maharashtrian Gujarati Hyderabadi Curry leaf powder,spice,396,12.3,17.5,6.7,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Bengali Gujarati Nutmeg,spice,176,9.1,79.1,18.7,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
South Indian Kashmiri North Indian Maharashtrian Punjabi Idli,snack,582,18.3,60.6,40.1,Mixed,Heating,Pungent,Increases Kapha and Pitta
Bengali South Indian Bengali Hyderabadi Peanut (groundnut),nuts_seeds,243,15.2,54.4,29.8,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Kashmiri Assamese Bajra (pearl millet),grains,103,10.5,42.3,18.1,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Bengali Rajasthani Curd (yogurt),dairy,597,2.2,66.3,45.1,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Assamese South Indian Cumin (jeera),spice,227,11.5,12,16.4,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Hyderabadi Punjabi Assamese South Indian Bengali Hyderabadi Peanut (groundnut),nuts_seeds,552,8.8,54.4,35.8,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Kashmiri Hyderabadi Bengali Almond,nuts_seeds,520,1.8,40.8,40.4,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Assamese Assamese Hyderabadi Nigella seed (kalonji),spice,484,2.6,33.2,28.2,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Bengali Kashmiri Gujarati Assamese Tender coconut water,beverage,592,9.2,64.6,36.2,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Kashmiri Hyderabadi Punjabi Ghee,dairy,425,5.1,0.2,10.9,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Punjabi Rajasthani Dry ginger,spice,94,0.9,27.6,3.2,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Gujarati Assamese Hyderabadi Hyderabadi Peanut (groundnut),nuts_seeds,81,18.7,5.5,46.7,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Kashmiri North Indian Assamese Peanut (groundnut),nuts_seeds,52,5.7,14.4,6.8,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Punjabi North Indian Kashmiri Gujarati Nutmeg,spice,450,7.5,71.3,22.4,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Kashmiri Bengali Mustard oil,oil,406,7.5,54.6,33.1,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Gujarati Turmeric (haldi),spice,312,9.7,67.1,3.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
North Indian South Indian Assamese Cashew,nuts_seeds,572,2.7,68.8,5.9,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Bengali Sesame oil,oil,570,7.9,10.2,48.9,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Bengali Assamese South Indian Cumin (jeera),spice,23,15.1,78.3,23.2,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Punjabi Punjabi Rajasthani Dry ginger,spice,577,8.5,30.3,11.5,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Maharashtrian Bottle gourd (lauki),vegetable,491,6.9,22.1,46.9,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Rajasthani North Indian South Indian Rajasthani Paneer,dairy,135,0.6,52.8,30.7,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Kashmiri Rajasthani Rice (brown),grains,36,4.8,5.4,29.7,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
South Indian Kashmiri Samosa,snack,477,12,56.3,2.4,Mixed,Heating,Pungent,Increases Kapha and Pitta
Maharashtrian Gujarati Fenugreek seed,spice,65,8,18.7,10.9,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Hyderabadi Punjabi Maharashtrian Gujarati Jowar (sorghum),grains,77,2.8,79.5,11.7,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
South Indian Hyderabadi Punjabi Assamese South Indian Bengali Hyderabadi Peanut (groundnut),nuts_seeds,346,11.5,61.8,40.9,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Maharashtrian Punjabi Bengali North Indian Coconut oil,oil,262,6,11.5,33,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
South Indian Hyderabadi Cashew,nuts_seeds,246,8.3,22,27.8,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Gujarati Punjabi Bengali Bengali Mustard oil,oil,199,12.5,34.2,24.8,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Maharashtrian Punjabi Maharashtrian Gujarati Jowar (sorghum),grains,372,18.8,53.7,39.3,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Assamese Maharashtrian Clove,spice,346,13.9,32.7,15,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Punjabi Hyderabadi North Indian Ghee,dairy,208,15.1,37.9,42.5,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Punjabi Gujarati Jalebi,sweet,327,17.2,11.5,23.2,Sweet,Heating,Sweet,Increases Kapha and Pitta
Maharashtrian Bengali Rajasthani Kashmiri Hyderabadi Urad dal,legumes,79,11.2,77.4,27.9,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
South Indian Assamese Rajasthani South Indian Brinjal (eggplant),vegetable,157,7.8,20.4,16.5,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Rajasthani Punjabi Maharashtrian Gujarati Jowar (sorghum),grains,100,18.4,67.8,4.6,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Maharashtrian Gujarati Punjabi Ragi (finger millet),grains,215,1,30.2,30.2,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Bengali Punjabi Punjabi Rajasthani Dry ginger,spice,60,17.5,15.1,38.1,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Bengali Bengali South Indian Assamese Kashmiri Hyderabadi Urad dal,legumes,592,4.3,16.7,45.4,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Assamese Assamese North Indian Assamese Peanut (groundnut),nuts_seeds,330,19.1,1.2,46.9,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Maharashtrian Black gram,legumes,140,14.9,60.3,45.7,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Hyderabadi Gujarati Brinjal (eggplant),vegetable,229,7.9,19.1,16.1,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
South Indian Assamese Bengali Dry ginger,spice,309,7.6,42.7,18,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Kashmiri Groundnut oil,oil,287,7.2,70.6,23.3,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
South Indian Hyderabadi Urad dal,legumes,500,15.2,25.6,10.2,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Maharashtrian Punjabi Milk (cow),dairy,340,8.3,45,11.1,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Punjabi Kashmiri Kheer (rice pudding),sweet,169,0.3,44.3,29.2,Sweet,Heating,Sweet,Increases Kapha and Pitta
Rajasthani Assamese Punjabi Assamese Cashew,nuts_seeds,447,5.9,15.7,11.5,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Maharashtrian North Indian Banana (ripe),fruit,271,10,52.4,34.2,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Maharashtrian Gujarati Punjabi Jalebi,sweet,283,15.3,39.1,36.2,Sweet,Heating,Sweet,Increases Kapha and Pitta
South Indian Hyderabadi Ghee,dairy,522,9.2,58.6,17.6,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Assamese Punjabi Hyderabadi North Indian Ghee,dairy,163,14.4,39.1,45.8,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Rajasthani Pomegranate,fruit,575,19.8,76.6,26.2,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
North Indian North Indian Coconut oil,oil,96,18.9,53.5,38.2,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
South Indian Rajasthani Assamese Punjabi Assamese Cashew,nuts_seeds,442,2.7,50.5,3.4,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
South Indian South Indian Assamese Rajasthani South Indian Brinjal (eggplant),vegetable,174,0.2,40.5,18.7,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Punjabi Rajasthani Banana (ripe),fruit,514,13.2,1.3,26.6,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Hyderabadi Moong dal,legumes,441,0.2,42.4,13.7,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Punjabi Chapati,snack,313,0.3,65.1,33.7,Mixed,Heating,Pungent,Increases Kapha and Pitta
Kashmiri Peanut (groundnut),nuts_seeds,203,2.1,7.7,7.4,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
North Indian Gujarati Punjabi Ragi (finger millet),grains,216,12.4,20.2,17.7,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Punjabi Assamese Maharashtrian Gulab jamun,sweet,426,1.6,76.7,22.9,Sweet,Heating,Sweet,Increases Kapha and Pitta
Gujarati North Indian Maharashtrian Punjabi Idli,snack,269,19.8,18.1,34.2,Mixed,Heating,Pungent,Increases Kapha and Pitta
Rajasthani Maharashtrian Black gram,legumes,102,13.1,68.7,38,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Hyderabadi Lassi (sweet),beverage,115,8.1,30.2,23.8,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
North Indian Hyderabadi Nigella seed (kalonji),spice,29,14.1,6.6,42.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Bengali Punjabi Kashmiri Kheer (rice pudding),sweet,359,11.3,68.6,4.8,Sweet,Heating,Sweet,Increases Kapha and Pitta
North Indian Bengali Assamese Fenugreek seed,spice,560,18.4,18.4,45.1,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
South Indian Kashmiri Apple,fruit,600,9.5,3.7,3.7,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Hyderabadi Bengali Assamese Fenugreek seed,spice,307,18,45.1,1.6,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Maharashtrian Kashmiri Carrot,vegetable,342,0.3,16.6,7.2,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Punjabi Kashmiri Gujarati Fenugreek seed,spice,427,18.6,23.9,28.2,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Hyderabadi Potato,vegetable,600,16.7,31.1,44.8,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Punjabi Kashmiri Assamese Bajra (pearl millet),grains,359,7.7,59.2,39.5,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Gujarati Star anise,spice,100,10,77.9,2.7,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Hyderabadi Bengali Gujarati Nutmeg,spice,467,4.6,6.1,30.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
North Indian North Indian Gujarati Punjabi Ragi (finger millet),grains,426,19.4,26.1,31.7,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Hyderabadi South Indian South Indian Assamese Rajasthani South Indian Brinjal (eggplant),vegetable,481,9.8,28.5,47.1,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
South Indian Maharashtrian North Indian Banana (ripe),fruit,462,3.7,46.9,19,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Assamese Assamese Mustard oil,oil,322,16,57,4.1,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Rajasthani Maharashtrian Mustard seed,spice,177,7.6,62.7,7.7,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Assamese Brinjal (eggplant),vegetable,418,6.3,8.5,0.3,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Rajasthani Assamese Rajasthani Rajasthani Paneer,dairy,335,8.9,60.9,5.1,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Maharashtrian Barley,grains,109,3.7,35.9,27.7,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Kashmiri Hyderabadi Bengali Assamese Fenugreek seed,spice,437,2.1,7.2,27.7,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Kashmiri Punjabi Cashew,nuts_seeds,352,17.3,1,20.7,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Bengali Gujarati Assamese Hyderabadi Hyderabadi Peanut (groundnut),nuts_seeds,106,14.5,44.8,49.6,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Bengali Bengali Curd (yogurt),dairy,268,11.4,13.6,19,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Assamese Maharashtrian Gujarati Fenugreek seed,spice,162,5.4,21.5,7.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Gujarati Hyderabadi Kashmiri Gujarati Nutmeg,spice,191,8.7,33.7,24.2,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Assamese Punjabi Maharashtrian Nigella seed (kalonji),spice,98,7.2,75.5,36,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Kashmiri South Indian Hyderabadi Urad dal,legumes,527,11.9,15.6,5.3,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Maharashtrian North Indian Maharashtrian Punjabi Idli,snack,331,0.1,31.7,42.1,Mixed,Heating,Pungent,Increases Kapha and Pitta
Hyderabadi Maharashtrian Kashmiri Carrot,vegetable,409,16.1,26.4,16.7,Bitter/Astringent/Sweet,Cooling/Neutral,Sweet/Pungent,Generally balances Pitta/Kapha
Rajasthani Punjabi Jalebi,sweet,159,6,48.3,34.8,Sweet,Heating,Sweet,Increases Kapha and Pitta
Punjabi Kashmiri Hyderabadi Bengali Assamese Fenugreek seed,spice,510,6.3,77.2,48.4,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
North Indian Punjabi Kashmiri Assamese Bajra (pearl millet),grains,318,14.7,50.6,48.4,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Kashmiri Gujarati Punjabi Jalebi,sweet,268,6.5,22.4,39.3,Sweet,Heating,Sweet,Increases Kapha and Pitta
Hyderabadi Bengali Tea (chai),beverage,393,2.3,45.1,29.6,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
South Indian North Indian Banana (ripe),fruit,578,3.6,61.4,1.3,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Rajasthani Gujarati Hyderabadi Curry leaf powder,spice,492,18.9,16.8,39.9,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Rajasthani North Indian Black gram,legumes,90,16.4,63.7,20.5,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Gujarati Punjabi Rajasthani Banana (ripe),fruit,531,2.8,24.2,12.6,Sweet/Sour,Cooling/Heating,Sweet/Pungent,Varies by fruit; many increase Kapha slightly
Gujarati Bengali Punjabi Paneer,dairy,177,14.3,63.1,3.7,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Hyderabadi Hyderabadi Bengali Tea (chai),beverage,510,11.6,42.7,46.2,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Gujarati Bengali Kashmiri Gujarati Assamese Tender coconut water,beverage,448,10.9,63.3,18,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
South Indian Bengali Kashmiri Gujarati Nutmeg,spice,569,11.9,73.2,5.5,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Punjabi Hyderabadi North Indian Wheat (atta),grains,274,13.2,28.4,32.3,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Punjabi Fenugreek seed,spice,65,11.3,51.6,32.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Maharashtrian Bengali Sesame oil,oil,359,19.3,34.4,0.5,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Assamese Rajasthani Star anise,spice,284,4.4,59.7,27.9,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Punjabi Maharashtrian Gujarati Punjabi Ragi (finger millet),grains,246,8.9,31.3,38.6,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Kashmiri Kashmiri Assamese Bajra (pearl millet),grains,532,3,79.8,24.1,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Kashmiri Gujarati Bengali Tea (chai),beverage,322,8.3,76.9,5.8,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
South Indian Punjabi Turmeric (haldi),spice,165,7,27.4,39.2,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Gujarati Clove,spice,553,9.7,38.1,21.9,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Maharashtrian Kashmiri Hyderabadi Urad dal,legumes,483,6.4,24,40.5,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Punjabi Bengali Rajasthani Curd (yogurt),dairy,137,0.5,27.4,5.5,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Hyderabadi Maharashtrian Poha,snack,188,18.6,59.2,25.8,Mixed,Heating,Pungent,Increases Kapha and Pitta
Kashmiri Punjabi Assamese Cashew,nuts_seeds,585,3.2,44.8,47.9,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Assamese Bengali Hyderabadi Punjabi Maharashtrian Paneer,dairy,257,16,50.4,9.3,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Maharashtrian Bengali Bengali Mustard oil,oil,462,7.9,59,44.2,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Assamese Maharashtrian Punjabi Maharashtrian Gujarati Jowar (sorghum),grains,480,11.8,31.1,35.2,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Rajasthani Gujarati Assamese Tender coconut water,beverage,230,5.6,56.3,39.8,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Kashmiri Bengali Kashmiri Gujarati Assamese Tender coconut water,beverage,124,16,43,18.3,Sweet/Astringent,Cooling/Heating,Sweet/Pungent,Varies
Gujarati Maharashtrian Punjabi Black pepper,spice,221,9.2,21,43.1,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Punjabi Assamese Fenugreek seed,spice,560,19.3,25.1,19.4,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Punjabi Curry leaf powder,spice,421,11.7,27.8,42.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
North Indian Gujarati North Indian Bengali Almond,nuts_seeds,196,16.3,56.5,14.9,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Assamese Gujarati Punjabi Bengali Bengali Mustard oil,oil,106,13.4,25.1,11.9,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Bengali Bengali Bengali South Indian Assamese Kashmiri Hyderabadi Urad dal,legumes,139,3.7,55.5,25.5,Astringent/Sweet,Heating,Pungent,"Increases Pitta, reduces Vata (varies)"
Punjabi Assamese Jowar (sorghum),grains,448,11.9,46,21.2,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Kashmiri Maharashtrian Punjabi Bengali North Indian Coconut oil,oil,518,12.7,55.5,32.3,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
Hyderabadi Assamese Cashew,nuts_seeds,197,11.1,39.2,7,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Assamese Bengali Punjabi Punjabi Rajasthani Dry ginger,spice,342,16.8,49.6,43.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Gujarati Assamese South Indian Rajasthani Paneer,dairy,29,9.7,15.6,19.2,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Punjabi Cinnamon,spice,595,10.1,39.6,34.2,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Punjabi Hyderabadi Hyderabadi Peanut (groundnut),nuts_seeds,445,14.2,35.5,8.4,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Bengali North Indian Gujarati Sesame oil,oil,598,0.6,60.9,14.6,Oily/Heating,Heating,Sweet,"Increases Kapha, may increase Pitta"
South Indian North Indian Wheat (atta),grains,301,4.5,23.1,39,Sweet,Cooling,Sweet,"Balances Vata, may increase Kapha"
Assamese Gujarati Assamese Hyderabadi Hyderabadi Peanut (groundnut),nuts_seeds,599,14.9,61.3,27.5,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Gujarati Peanut (groundnut),nuts_seeds,135,11.5,21.4,27.2,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Gujarati Bengali Hyderabadi Punjabi Maharashtrian Paneer,dairy,395,10.8,60.5,38,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Bengali Kashmiri Hyderabadi Bengali Almond,nuts_seeds,471,10.9,79.2,5.1,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
Kashmiri Assamese Hyderabadi Hyderabadi Peanut (groundnut),nuts_seeds,273,6,79.9,22.5,Sweet/Oily,Heating,Sweet,Increases Kapha and Pitta
South Indian Star anise,spice,376,17.2,7,43.3,Pungent/Bitter/Astringent,Heating,Pungent,Increases Pitta; reduces Kapha
Gujarati Rajasthani North Indian Ghee,dairy,140,15.5,19,40.5,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
Kashmiri Hyderabadi Ghee,dairy,379,17.2,48.8,21.4,Sweet/Sour,Cooling,Sweet,"Increases Kapha, balances Vata"
